TopN,Origem,MelhorTopN_GLM,MelhorTopN_XGBoost
11,Guiado_por_GLM_XGBoost,13,17
12,Guiado_por_GLM_XGBoost,13,17
13,Guiado_por_GLM_XGBoost,13,17
14,Guiado_por_GLM_XGBoost,13,17
15,Guiado_por_GLM_XGBoost,13,17
16,Guiado_por_GLM_XGBoost,13,17
17,Guiado_por_GLM_XGBoost,13,17
18,Guiado_por_GLM_XGBoost,13,17
19,Guiado_por_GLM_XGBoost,13,17
