Cenario,Threshold,ROC,PRAUC,Sens,Spec,Precision,F1,GMean,Accuracy,TP,FP,FN,TN
XGB_Top23_SemBalanceamento_Youden,0.2259516641497612,0.7775330723333093,0.5565974686641136,0.6186887716654107,0.8028681506849316,0.47129735935706085,0.5350276963180188,0.7047875637073487,0.762127021170195,821,921,506,3751
XGB_Top23_ComSMOTENC_Youden,0.4565422683954239,0.7661947009424905,0.5340976055197114,0.5704596834966089,0.8287671232876712,0.4861913937058446,0.5249653259361997,0.6875887076174826,0.7716286047674612,757,800,570,3872
RF_Top14_SemBalanceamento_Youden,0.23249999999999998,0.7470147154463153,0.5296726677559641,0.6111529766390355,0.7542808219178082,0.41398672792240937,0.4936092513694462,0.6789557935070638,0.7226204367394565,811,1148,516,3524
RF_Top14_ComSMOTENC_Youden,0.4175,0.746788577076731,0.5034589024464408,0.5885455915599096,0.7915239726027398,0.445014245014245,0.5068137573004542,0.6825305448764394,0.7466244374062344,781,974,546,3698
