Subconjunto,Cenario,ROC,Sens,Spec,Precision,F1,GMean,mtry,ROCSD,SensSD,SpecSD,PrecisionSD,F1SD,GMeanSD,Variaveis
Top13,Sem_balanceamento,0.7575022279623778,0.3746446073863445,0.9427023102259225,0.6506168085508722,0.47528651733748906,0.5942301923865946,4,0.006266714866058364,0.009938615046637171,0.005640393599212151,0.01789160350144186,0.006624477629532076,0.006675305461890262,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, LIMIT_BAL, MARRIAGE, PAY_3, BILL_AMT3, SEX, BILL_AMT5, PAY_AMT4"
Top13,Com_SMOTENC,0.7563666558177524,0.5277807064720594,0.8522354927047644,0.50383412826059,0.5153716473394838,0.6705871549685677,2,0.004466644846553753,0.01356059592277459,0.008243510236464108,0.008872010743968909,0.005046854898145157,0.0059855237700816265,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, LIMIT_BAL, MARRIAGE, PAY_3, BILL_AMT3, SEX, BILL_AMT5, PAY_AMT4"
Top14,Sem_balanceamento,0.7629710950993768,0.3733256299798896,0.9463402188062691,0.6645428158306355,0.477834668356041,0.5942934956446577,3,0.007347508191686665,0.012878545802683227,0.005118672599346145,0.015028699519260849,0.008361661157812002,0.008898178853567699,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, LIMIT_BAL, MARRIAGE, PAY_3, BILL_AMT3, SEX, BILL_AMT5, PAY_AMT4, AGE"
Top14,Com_SMOTENC,0.7611942861419367,0.5147819187739953,0.8638445915402141,0.5180523671864086,0.5162159279639943,0.6667328757761976,2,0.005949370335976985,0.018205112196088682,0.008381276956455507,0.012098249932203034,0.010559927120896496,0.010045581084835754,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, LIMIT_BAL, MARRIAGE, PAY_3, BILL_AMT3, SEX, BILL_AMT5, PAY_AMT4, AGE"
