Cenario,RegraThreshold,Threshold,ROC,Sens,Spec,Precision,F1,GMean
RF_Top14_SemBalanceamento,Padrao_0.50,0.5,0.7628857240955353,0.3754002637031456,0.9466081746201583,0.6663323303243063,0.48024096385542175,0.5961182419419496
RF_Top14_SemBalanceamento,Youden,0.23249999999999998,0.7628857240955353,0.6121680165756263,0.7885191525786432,0.4512008885186728,0.5195012787723784,0.694770613703517
RF_Top14_ComSMOTENC,Padrao_0.50,0.5,0.7608352197152021,0.5121491806366547,0.8631500106997646,0.5152548796664772,0.5136973361042887,0.6648771095070157
RF_Top14_ComSMOTENC,Youden,0.4175,0.7608352197152021,0.5987944999058203,0.7965974748555532,0.4553788855464833,0.5173311635475997,0.690650553161561
XGB_Top14_SemBalanceamento,Padrao_0.50,0.5,0.778879398275389,0.3597664343567527,0.9523860475069549,0.6821428571428572,0.47108151436675305,0.5853516314512995
XGB_Top14_SemBalanceamento,Youden,0.2164292111992836,0.778879398275389,0.6304388773780373,0.7933340466509736,0.46421636615811374,0.5347072449876189,0.7072118676580699
XGB_Top14_ComSMOTENC,Padrao_0.50,0.5,0.7673750956156682,0.5469956677340365,0.845869890862401,0.5019878997407087,0.5235262303948081,0.6802111185274727
XGB_Top14_ComSMOTENC,Youden,0.43926265835762024,0.7673750956156682,0.6332642682237709,0.7724160068478494,0.4414390756302521,0.5202321083172147,0.6993879162101891
