Subconjunto,Modelo,Cenario,ROC,Sens,Spec,Precision,F1,GMean,nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,ROCSD,SensSD,SpecSD,PrecisionSD,F1SD,GMeanSD,Variaveis
Top13,XGBoost,Sem_balanceamento,0.7787736394193684,0.35543468035520626,0.952065162500567,0.678117615969085,0.46629015585624783,0.5816112472598809,100,3,0.1,0,0.8,1,0.8,0.0022918594399255724,0.015133184709828705,0.0034051521669259286,0.018583837978453713,0.01577419833509157,0.012521546226687373,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, LIMIT_BAL, MARRIAGE, PAY_3, BILL_AMT3, SEX, BILL_AMT5, PAY_AMT4"
Top13,XGBoost,Com_SMOTENC,0.7681392420962272,0.5760065389755961,0.8238282554097334,0.4815193511394042,0.5244835030788385,0.6888010716404116,100,3,0.1,0,0.8,1,0.8,0.0034236399107267297,0.015274554076740622,0.00515548459585037,0.0074605901160964515,0.009315385525774692,0.00850213492735137,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, LIMIT_BAL, MARRIAGE, PAY_3, BILL_AMT3, SEX, BILL_AMT5, PAY_AMT4"
Top14,XGBoost,Sem_balanceamento,0.778981383669762,0.3597673729257301,0.9523860896189014,0.6822857702537447,0.4709808835686512,0.5852382231393322,100,3,0.1,0,0.8,1,0.8,0.003242476140918923,0.015527831848818481,0.003824985912819677,0.019709192569612944,0.01609206165803645,0.01280218577079268,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, LIMIT_BAL, MARRIAGE, PAY_3, BILL_AMT3, SEX, BILL_AMT5, PAY_AMT4, AGE"
Top14,XGBoost,Com_SMOTENC,0.7674152634771795,0.546994005939037,0.8458698824917636,0.5020073424821369,0.5234379086354596,0.6801237631632604,100,3,0.1,0,0.8,1,0.8,0.004082227859615599,0.016582155777632133,0.005139699483817812,0.004230488204870678,0.008113486133162777,0.008569201942307604,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, LIMIT_BAL, MARRIAGE, PAY_3, BILL_AMT3, SEX, BILL_AMT5, PAY_AMT4, AGE"
