Variavel,Importancia_SHAP,Posicao
PAY_0,0.08664412406330287,1
LIMIT_BAL,0.02816578566476602,2
PAY_3,0.028093578252917275,3
PAY_AMT1,0.01811380118088175,4
PAY_AMT4,0.017990943200316058,5
BILL_AMT1,0.016841455742845738,6
PAY_2,0.014732635278581967,7
BILL_AMT3,0.011924622075657363,8
PAY_AMT2,0.011034108460321055,9
SEX,0.008241933695426683,10
