Subconjunto,TopN,Modelo,Cenario,ROC,Sens,Spec,Precision,F1,GMean,nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,PRAUC,Accuracy,ROCSD,F1SD,GMeanSD,Variaveis,Usa_SMOTENC,Fase_Protocolo,CV_Folds,CV_Repeats
Top17,17,XGBoost,Sem_balanceamento,0.7856830689198969,0.3725796034584534,0.9504738612045246,0.6812255778636642,0.4815635362773977,0.5949543848259202,200,3,0.05,0,0.8,1,0.8,0.5580004678282713,0.8226274299769896,0.011437822259597554,0.016026837603452877,0.012979540664796306,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5",FALSE,confirmacao,5,2
Top17,17,XGBoost,Com_SMOTENC,0.7722211550833745,0.5577970299894672,0.8457352491592784,0.5068371911114229,0.5308444250837703,0.6865920841800812,100,3,0.05,0,0.8,1,0.8,0.5443220074724613,0.7820342662177939,0.013378990974716478,0.02029281323255877,0.017603439946703242,"PAY_0, BILL_AMT1, PAY_AMT2, PAY_AMT1, EDUCATION, PAY_2, BILL_AMT3, LIMIT_BAL, PAY_3, PAY_AMT4, MARRIAGE, SEX, AGE, PAY_5, BILL_AMT5, PAY_AMT3, PAY_AMT5",TRUE,confirmacao,5,2
